"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Afghanistan",0,9.7523,0.0277,0,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0,0,0.1387,40.2477,0,1.137,0.0462,4.5,"29.8",0.138283497739416,0.00596999588984792,0.116712905877517,0.015600595972051,38928000,"%"
"Albania",0.184,27.7469,0.0711,0,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0,0.8867,0.2635,0,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,22.3,"6.2",2.34795630725863,0.0445736434108527,1.396229739253,0.907152924594785,2838000,"%"
"Algeria",0.0323,13.836,0.0054,0,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0,0,0.2745,36.1694,0.0269,3.1267,0.1399,26.6,"3.9",0.233065806975224,0.00637328944698695,0.158234326036477,0.06845819149176,44357000,"%"
"Angola",0.6285,15.2311,0.0277,0,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0,5.1941,0.1017,0,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,6.8,"25",0.0574349670991944,0.00131603222434045,0.0495664473279626,0.00655248754689134,32522000,"%"
"Antigua and Barbuda",0.1535,33.1901,0.1289,0,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0,0,0.0737,16.8161,0.043,1.6024,0.2947,19.1,NA,0.187755102040816,0.00612244897959184,0.159183673469388,0.0224489795918367,98000,"%"
"Argentina",0.1704,31.9799,0.0097,0,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0,0.0049,0.0438,18.0176,0,1.0516,0,28.5,"4.6",3.9294069682879,0.0996694360579148,3.44219097780814,0.387546554421844,45377000,"%"
"Armenia",0.0411,22.8846,0.1438,0,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,20.9,"4.3",5.54709066305819,0.100608930987821,5.15290933694181,0.293572395128552,2956000,"%"
"Australia",0.2914,32.9787,0.074,0.0046,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0,0,0.7724,17.0213,0.0463,1.4524,0.2174,30.4,"<2.5",0.111396287955269,0.00352954880795216,0.100555253552846,0.00731148559447076,25754000,"%"
"Austria",0.615,30.0009,0.3376,0,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0,0.0139,0.3561,19.9991,0.0647,1.5259,0,21.9,"<2.5",4.38398025577743,0.0783823199461521,4.09708323984743,0.208514695983846,8914000,"%"
"Azerbaijan",0.3465,16.3039,0.0596,0,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0,0,0.3411,33.7015,0.0217,1.9114,0.0433,19.9,"<2.5",2.24128413138108,0.0295112781954887,2.1148891966759,0.0968836565096953,10108000,"%"
"Bahamas",0.0325,34.1684,0.0895,0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0,0,0.1464,15.8276,0.0325,2.6759,1.1305,32.1,NA,2.04096692111959,0.044529262086514,1.65572519083969,0.340712468193384,393000,"%"
"Bangladesh",0,9.9195,0.0083,0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0,1.2026,0.0249,3.4,"14.7",0.310045403953854,0.00462990771984995,0.27744289171952,0.0279726045144839,169809000,"%"
"Barbados",0.1344,28.2153,0.112,0,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0,0,0.2465,21.7791,0.028,1.4844,0.9075,24.8,"3.9",0.360975609756098,0.0024390243902439,0.171777003484321,0.186759581881533,287000,"%"
"Belarus",0.3401,27.0935,0.1328,0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0,0,0.3454,22.9065,0.0213,2.8587,0.17,26.6,"<2.5",2.363776,0.0166826666666667,2.18133333333333,0.16576,9375000,"%"
